SimulatedTime(s),RealTime(s)
49680,29.69
49740,44.681
49800,46.896
49860,33.08
49920,47.271
49980,43.12
50040,27.579
50100,41.354
50160,40.542
50220,27.715
50280,40.884
50340,27.244
50400,39.02
50460,27.408
50520,39.469
50580,39.896
50640,27.322
50700,39.313
50760,28.596
50820,42.913
50880,41.547
50940,27.515
51000,38.002
51060,27.626
51120,37.488
51180,27.717
51240,38.591
51300,42.123
51360,28.207
51420,40.561
51480,27.743
51540,39.708
51600,33.537
51660,33.301
51720,39.063
51780,27.846
51840,38.105
51900,27.859
51960,38.464
52020,28.788
52080,39.706
52140,41.334
52200,28.803
52260,40.812
52320,28.15
52380,38.796
52440,39.227
52500,28.413
52560,38.375
52620,28.307
52680,39.777
52740,31.597
52800,37.661
52860,40.375
52920,28.722
52980,40.482
53040,28.654
53100,38.29
53160,38.806
53220,28.716
53280,40.469
53340,28.797
53400,40.228
53460,39.945
53520,28.841
53580,39.296
53640,28.998
53700,39.346
53760,29.623
53820,37.73
53880,39.171
53940,29.063
54000,38.97
54060,29.142
54120,39.747
54180,39.096
54240,29.208
54300,39.292
54360,29.238
54420,39.506
54480,30.969
54540,37.31
54600,39.373
54660,29.357
54720,39.383
54780,29.824
54840,39.65
54900,39.74
54960,29.598
55020,39.666
55080,29.581
55140,40.195
55200,41.156
55260,29.738
55320,39.981
55380,29.834
55440,39.984
55500,40.097
55560,30.032
55620,40.152
55680,36.768
55740,37.287
55800,40.796
55860,30.429
55920,40.675
55980,40.55
56040,30.113
56100,40.229
56160,30.085
56220,39.986
56280,40.371
56340,30.627
56400,40.382
56460,30.442
56520,40.651
56580,40.985
56640,30.493
56700,40.88
56760,30.837
56820,42.029
56880,41.111
56940,30.642
57000,40.716
57060,40.988
57120,30.614
57180,41.045
57240,30.755
57300,40.851
57360,44.321
57420,61.457
57480,46.656
57540,43.331
57600,54.898
57660,55.617
57720,56.173
57780,57.154
57840,57.276
57900,57.276
57960,57.955
58020,57.851
58080,57.98
58140,58.528
58200,58.716
58260,57.053
58320,56.995
58380,54.237
58440,48.22
58500,57.284
58560,57.4
58620,57.655
58680,57.936
58740,57.608
58800,57.426
58860,56.963
58920,57.126
58980,61.086
59040,52.889
59100,41.832
59160,31.773
59220,43.341
59280,41.134
59340,32.671
59400,43.371
59460,31.905
59520,42.542
59580,42.754
59640,32.396
59700,42.992
59760,43.237
59820,32.45
59880,43.237
59940,43.208
60000,32.6
60060,43.264
60120,43.356
60180,32.748
60240,43.311
60300,43.472
60360,32.785
60420,43.479
60480,43.572
60540,32.855
60600,43.39
60660,43.473
60720,33.007
60780,44.091
60840,43.855
60900,33.085
60960,43.8
61020,43.908
61080,33.179
61140,43.921
61200,44.07
61260,33.28
61320,44.053
61380,44.135
61440,33.357
61500,44.126
61560,45.149
61620,37.523
61680,39.724
61740,44.822
61800,44.769
61860,33.488
61920,44.649
61980,45.071
62040,33.61
62100,45.009
62160,45.846
62220,34.152
62280,44.57
62340,45.874
62400,33.99
62460,44.852
62520,45.872
62580,44.887
62640,33.839
62700,44.387
62760,45.247
62820,34.026
62880,45.227
62940,45.822
63000,34.038
63060,45.181
63120,45.682
63180,45.669
63240,34.221
63300,45.168
63360,45.522
63420,34.353
63480,45.487
63540,45.798
63600,34.52
63660,44.69
63720,45.922
63780,46.085
63840,34.503
63900,46.023
63960,45.895
64020,34.554
64080,45.541
64140,46.578
64200,46.223
64260,34.718
64320,45.863
64380,45.697
64440,34.861
64500,46.211
64560,46.489
64620,46.665
64680,35.042
64740,46.408
64800,46.208
64860,34.857
64920,44.87
64980,45.486
65040,45.486
65100,34.926
65160,45.427
65220,46.164
65280,34.841
65340,45.433
65400,45.748
65460,45.746
65520,35.019
65580,46.46
65640,47.74
65700,35.506
65760,46.826
65820,47.057
65880,47.012
65940,35.675
66000,46.775
66060,47.22
66120,47.053
66180,35.716
66240,47.077
66300,47.051
66360,42.407
66420,39.673
66480,47.456
66540,46.908
66600,36.091
66660,48.929
66720,48.56
66780,48.19
66840,36.181
66900,46.968
66960,47.468
67020,49.705
67080,38.671
67140,47.993
67200,50.169
67260,50.089
67320,49.959
67380,36.49
67440,50.466
67500,50.337
67560,50.291
67620,50.315
67680,37.104
67740,50.867
67800,50.979
67860,51.365
67920,51.021
67980,37.445
68040,50.858
68100,50.892
68160,51.181
68220,51.035
68280,37.45
68340,50.959
68400,50.698
68460,51.109
68520,51.065
68580,39.274
68640,48.955
68700,53.812
68760,52.634
68820,51.888
68880,52.852
68940,43.401
69000,47.638
69060,51.792
69120,50.738
69180,50.81
69240,50.949
69300,37.386
69360,50.415
69420,50.133
69480,49.673
69540,49.787
69600,37.623
69660,49.086
69720,50.031
69780,49.77
69840,37.722
69900,49.33
69960,50.189
70020,49.345
70080,49.797
70140,37.883
70200,49.615
70260,50.285
70320,50.141
70380,49.837
70440,38.006
70500,48.919
70560,50.638
70620,50.112
70680,46.617
70740,40.551
70800,50.174
70860,50.151
70920,49.439
70980,38.404
71040,49.33
71100,49.368
71160,51.338
71220,51.675
71280,38.429
71340,49.73
71400,50.58
71460,50.337
71520,49.889
71580,38.617
71640,49.545
71700,49.901
71760,50.338
71820,50.15
71880,38.76
71940,49.654
72000,50.051
72060,50.095
72120,50.304
72180,38.912
72240,50.117
72300,49.969
72360,50.868
72420,50.93
72480,39.05
72540,50.353
72600,50.15
72660,50.757
72720,51.012
72780,39.201
72840,50.29
72900,50.839
72960,50.569
73020,51.419
73080,39.94
73140,49.151
73200,51.39
73260,51.591
73320,50.858
73380,50.744
73440,39.509
73500,50.728
73560,51.149
73620,51.514
73680,51.235
73740,39.653
73800,50.649
73860,52.525
73920,52.147
73980,51.444
74040,51.513
74100,40.137
74160,51.061
74220,51.973
74280,51.838
74340,51.616
74400,51.469
74460,39.656
74520,49.837
74580,49.678
74640,49.855
74700,50.389
74760,40.007
74820,51.034
74880,52.001
74940,51.616
75000,50.917
75060,39.995
75120,49.621
75180,50.799
75240,51.425
75300,53.089
75360,52.808
75420,40.662
75480,51.648
75540,52.494
75600,52.694
75660,56.778
75720,53.04
75780,52.426
75840,40.824
75900,52.02
75960,51.911
76020,52.636
76080,53.837
76140,52.987
76200,52.216
76260,41.081
76320,52.506
76380,52.831
76440,52.78
76500,52.906
76560,52.23
76620,41.262
76680,51.318
76740,53.137
76800,53.129
76860,52.875
76920,52.825
76980,52.966
77040,41.499
77100,53.139
77160,54.175
77220,53.333
77280,53.178
77340,53.479
77400,53.556
77460,42.266
77520,54.799
77580,55.881
77640,56.049
77700,55.342
77760,56.05
77820,56.27
77880,55.385
77940,56.095
78000,54.453
78060,53.818
78120,42.122
78180,53.77
78240,55.014
78300,54.058
78360,53.916
78420,53.949
78480,54.129
78540,54.498
78600,42.36
78660,54.143
78720,54.151
78780,54.547
78840,53.569
78900,54.269
78960,54.706
79020,54.931
79080,47.638
79140,47.657
79200,54.81
79260,54.671
79320,54.1
79380,54.283
79440,55.03
79500,55.16
79560,54.826
79620,42.981
79680,54.377
79740,57.518
79800,55.678
79860,55.26
79920,54.617
79980,54.593
80040,54.389
80100,54.851
80160,55.077
80220,43.154
80280,54.247
80340,54.969
80400,54.983
80460,54.954
80520,54.845
80580,54.593
80640,54.855
80700,54.916
80760,47.595
80820,49.152
80880,55.393
80940,55.395
81000,55.629
81060,55.476
81120,55.598
81180,55.34
81240,55.452
81300,55.356
81360,53.165
81420,44.634
81480,55.753
81540,56.753
81600,55.5
81660,56.402
81720,56.216
81780,55.602
81840,55.648
81900,55.82
81960,55.626
82020,55.438
82080,44.035
82140,54.835
82200,56.036
82260,56.349
82320,55.835
82380,55.224
82440,55.739
82500,56.008
82560,56.051
82620,55.968
82680,55.826
82740,48.164
82800,50.728
82860,56.55
82920,56.221
82980,56.507
83040,55.01
83100,56.361
83160,55.812
83220,56.821
83280,55.462
83340,54.775
83400,54.576
83460,44.481
83520,55.353
83580,55.365
83640,56.273
83700,58.208
83760,55.952
83820,54.594
83880,54.581
83940,54.848
84000,56.454
84060,57.94
84120,57.196
84180,45.224
84240,55.171
84300,57.055
84360,56.972
84420,56.264
84480,56.73
84540,56.937
84600,57.021
84660,56.983
84720,57.399
84780,57.144
84840,57.126
84900,56.965
84960,57.143
85020,57.355
85080,55.104
85140,46.497
85200,57.422
85260,57.824
85320,56.813
85380,58.348
85440,59.728
85500,59.601
85560,59.615
85620,59.368
85680,59.592
85740,60.349
85800,60.42
85860,59.85
85920,62.072
85980,58.342
86040,57.565
86100,57.164
86160,56.977
86220,57.022
86280,57.027
86340,57.457
86400,57.127
86460,56.794
86520,57.116
86580,58.424
86640,57.628
86700,57.292
86760,54.408
86820,48.882
86880,57.767
86940,57.438
87000,57.762
87060,57.754
87120,57.588
87180,57.831
87240,57.728
87300,57.823
87360,57.936
87420,58.142
87480,58.302
87540,59.545
87600,60.188
87660,58.85
87720,58.763
87780,58.504
87840,58.571
87900,58.618
87960,58.583
88020,58.838
88080,58.562
88140,58.747
88200,58.975
88260,58.836
88320,58.885
88380,58.769
88440,58.949
88500,59.288
88560,58.94
88620,58.849
88680,55.144
88740,51.106
88800,59.054
88860,59.058
88920,59.273
88980,59.287
89040,59.51
89100,59.418
89160,60.187
89220,59.518
89280,59.478
89340,59.431
89400,59.353
89460,59.726
89520,59.619
89580,59.492
89640,60.289
89700,59.564
89760,59.925
89820,60.044
89880,60.141
89940,59.676
90000,60.105
90060,59.815
90120,59.97
90180,59.673
90240,59.652
90300,59.833
90360,60.155
90420,60.013
90480,60.074
90540,60.017
90600,60.186
90660,60.134
90720,60.097
90780,60.239
90840,60.223
90900,60.208
90960,60.376
91020,60.192
91080,60.543
91140,60.699
91200,61.14
91260,60.884
91320,60.736
91380,60.051
91440,60.472
91500,60.755
91560,60.607
91620,60.441
91680,60.751
91740,60.516
91800,59.902
91860,60.388
91920,62.822
91980,59.943
92040,59.842
92100,59.708
92160,59.398
92220,59.144
92280,61.638
92340,79.349
92400,61.612
92460,61.196
92520,61.099
92580,61.15
92640,61.317
92700,61.251
92760,61.237
92820,61.384
92880,61.398
92940,62.182
93000,61.634
93060,61.346
93120,61.517
